Sample,Wt,FLF tin,FLF tin + dry,OLF tin,OLF tin + dry,DF tin,DF tin + dry,FLF,OLF,FLF + OLF,DF,%FLF + OLF,%DF,sum,% recovery
31R,5.3068,2.4028,2.8334,,,3.0848,7.9681,0.4306,0,0.4306,4.8833,8.114117736,92.01967287,5.3139,100.1337906
44R,4.8149,2.3711,2.734,,,3.0746,7.5312,0.3629,0,0.3629,4.4566,7.537020499,92.55851627,4.8195,100.0955368
16R,5.2769,2.3441,2.8066,,,3.078,7.9037,0.4625,0,0.4625,4.8257,8.764615589,91.44952529,5.2882,100.2141409
46R,5.2111,2.3708,2.7844,,,3.0454,7.8429,0.4136,0,0.4136,4.7975,7.936903917,92.06309608,5.2111,100
36R,4.9447,2.3194,2.8294,,,3.0701,7.4973,0.51,0,0.51,4.4272,10.31407365,89.53424879,4.9372,99.84832245
26R,5.2413,2.3845,2.6129,,,3.0654,8.0959,0.2284,0,0.2284,5.0305,4.357697518,95.97809704,5.2589,100.3357946
3R,4.913,2.3691,2.6922,,,3.0808,7.677,0.3231,0,0.3231,4.5962,6.57642988,93.55180134,4.9193,100.1282312
2R,4.5781,2.3792,2.7178,,,3.0559,7.2941,0.3386,0,0.3386,4.2382,7.396081344,92.5755226,4.5768,99.97160394
48R,5.2585,2.3257,2.6417,,,3.1044,8.0485,0.316,0,0.316,4.9441,6.009318247,94.02110868,5.2601,100.0304269
14R,5.1023,2.3899,2.7207,,,3.0976,7.8704,0.3308,0,0.3308,4.7728,6.483350646,93.54212806,5.1036,100.0254787
51R,5.0594,2.3908,2.6247,,,3.0856,7.9104,0.2339,0,0.2339,4.8248,4.623077835,95.36308653,5.0587,99.98616437
45R,4.8329,2.3952,2.8206,,,3.083,7.9847,0.4254,0,0.4254,4.9017,8.80216847,101.4235759,5.3271,110.2257444
12R,4.9825,2.3791,2.8441,,,3.0728,7.6076,0.465,0,0.465,4.5348,9.332664325,91.01455093,4.9998,100.3472153
10R,5.4784,2.401,2.7513,,,3.0588,8.1911,0.3503,0,0.3503,5.1323,6.394202687,93.68246203,5.4826,100.0766647
32R,5.0946,2.3469,2.6505,,,3.0411,7.8368,0.3036,0,0.3036,4.7957,5.959250972,94.13300357,5.0993,100.0922545
24R,5.355,2.4092,2.7462,,,3.0517,8.0732,0.337,0,0.337,5.0215,6.29318394,93.77217554,5.3585,100.0653595
25R,4.5826,2.3767,2.6812,,,3.0359,7.299,0.3045,0,0.3045,4.2631,6.644699516,93.02797539,4.5676,99.6726749
15R,5.0509,2.3647,2.6183,,,3.0256,7.8277,0.2536,0,0.2536,4.8021,5.020887367,95.0741452,5.0557,100.0950326
9R,5.2651,2.4031,2.7959,,,3.0204,7.8977,0.3928,0,0.3928,4.8773,7.460447095,92.63451786,5.2701,100.094965
47R,5.1942,2.3944,2.7351,,,3.0662,7.9208,0.3407,0,0.3407,4.8546,6.559239151,93.46193832,5.1953,100.0211775
49R,5.2788,2.4328,2.6965,,,3.0824,8.0903,0.2637,0,0.2637,5.0079,4.995453512,94.86815185,5.2716,99.86360536
13R,5.0139,2.4056,2.7406,,,3.0388,7.7015,0.335,0,0.335,4.6627,6.681425637,92.99547259,4.9977,99.67689822
